model,year,price,transmission,mileage,fueltype,tax,mpg,enginesize,car_age,usage_category,price_tier,annual_mileage,liquidity_score,as_bargin
 X3,2014,15590,Automatic,51362,Diesel,145,54.3,2.0,12,Высокое использование,Средний класс,4280.2,55.8,False
 X1,2016,17190,Manual,22197,Diesel,125,58.9,2.0,10,Высокое использование,Средний класс,2219.7,66.4,False
 1 Series,2017,20998,Semi-Auto,19479,Petrol,200,39.8,3.0,9,Высокое использование,Премиум,2164.3,69.9,False
 1 Series,2017,20998,Semi-Auto,24999,Petrol,200,39.8,3.0,9,Высокое использование,Премиум,2777.7,69.0,False
 2 Series,2015,12198,Manual,22812,Diesel,20,74.3,1.5,11,Высокое использование,Бюджетные,2073.8,63.4,False
 2 Series,2016,19500,Semi-Auto,24790,Petrol,265,37.2,3.0,10,Высокое использование,Средний класс,2479.0,66.0,False
 6 Series,2017,25998,Semi-Auto,18895,Diesel,145,51.4,3.0,9,Высокое использование,Премиум,2099.4,70.0,False
 4 Series,2019,29898,Semi-Auto,2145,Diesel,145,58.9,2.0,7,В хорошем состоянии,Люкс,306.4,78.7,False
 1 Series,2015,14498,Manual,25640,Diesel,30,62.8,2.0,11,Высокое использование,Бюджетные,2330.9,62.9,False
 1 Series,2019,17898,Semi-Auto,11804,Diesel,145,70.6,2.0,7,В хорошем состоянии,Средний класс,1686.3,77.1,False
 3 Series,2019,22898,Semi-Auto,12226,Diesel,145,62.8,2.0,7,В хорошем состоянии,Премиум,1746.6,77.0,True
 3 Series,2019,22198,Semi-Auto,13004,Diesel,145,67.3,2.0,7,В хорошем состоянии,Премиум,1857.7,76.9,True
 1 Series,2016,15998,Semi-Auto,21914,Diesel,30,65.7,2.0,10,Высокое использование,Средний класс,2191.4,66.5,False
 2 Series,2019,20898,Automatic,8177,Hybrid,135,148.7,1.5,7,В хорошем состоянии,Премиум,1168.1,77.7,False
 3 Series,2015,11990,Semi-Auto,47742,Diesel,30,67.3,2.0,11,Высокое использование,Бюджетные,4340.2,59.4,False
 3 Series,2018,19940,Automatic,20610,Petrol,145,48.7,2.0,8,Высокое использование,Средний класс,2576.2,72.7,False
 3 Series,2019,29998,Semi-Auto,3941,Petrol,145,41.5,2.0,7,В хорошем состоянии,Люкс,563.0,78.4,False
 1 Series,2017,21998,Semi-Auto,12453,Petrol,145,39.8,3.0,9,Высокое использование,Премиум,1383.7,71.0,False
 3 Series,2017,16098,Manual,26575,Diesel,30,64.2,2.0,9,Высокое использование,Средний класс,2952.8,68.7,False
 3 Series,2017,15298,Semi-Auto,42114,Petrol,125,51.4,1.5,9,Высокое использование,Средний класс,4679.3,66.3,False
 1 Series,2016,12995,Manual,18824,Diesel,20,70.6,2.0,10,Высокое использование,Бюджетные,1882.4,67.0,False
 5 Series,2018,23750,Automatic,17280,Diesel,145,68.9,2.0,8,Высокое использование,Премиум,2160.0,73.2,False
 3 Series,2017,19999,Semi-Auto,17347,Hybrid,140,134.5,2.0,9,Высокое использование,Средний класс,1927.4,70.2,False
 1 Series,2015,12299,Semi-Auto,46242,Diesel,30,62.8,2.0,11,Высокое использование,Бюджетные,4203.8,59.6,False
 1 Series,2018,16998,Manual,14164,Petrol,145,46.3,2.0,8,Высокое использование,Средний класс,1770.5,73.7,False
 1 Series,2016,15998,Semi-Auto,11239,Diesel,20,68.9,1.5,10,Высокое использование,Средний класс,1123.9,68.2,False
 2 Series,2019,19498,Semi-Auto,5045,Diesel,145,51.4,2.0,7,В хорошем состоянии,Средний класс,720.7,78.2,False
 2 Series,2018,18998,Semi-Auto,7762,Petrol,150,50.4,1.5,8,Высокое использование,Средний класс,970.2,74.8,False
 3 Series,2015,13795,Semi-Auto,92308,Diesel,150,54.3,3.0,11,Высокое использование,Бюджетные,8391.6,52.2,False
 3 Series,2015,12495,Semi-Auto,57209,Diesel,125,61.4,2.0,11,Высокое использование,Бюджетные,5200.8,57.8,False
 X1,2016,17750,Semi-Auto,47027,Diesel,145,55.4,2.0,10,Высокое использование,Средний класс,4702.7,62.5,False
 2 Series,2017,14600,Manual,10511,Diesel,150,68.9,2.0,9,Высокое использование,Бюджетные,1167.9,71.3,False
 3 Series,2017,17901,Semi-Auto,16965,Petrol,145,46.3,2.0,9,Высокое использование,Средний класс,1885.0,70.3,False
 M4,2015,29197,Manual,37538,Petrol,325,32.1,3.0,11,Высокое использование,Люкс,3412.5,61.0,False
 3 Series,2019,25690,Semi-Auto,21544,Petrol,145,42.2,2.0,7,В хорошем состоянии,Премиум,3077.7,75.6,False
 1 Series,2017,14179,Manual,32015,Diesel,145,68.9,2.0,9,Высокое использование,Бюджетные,3557.2,67.9,False
 3 Series,2016,18656,Semi-Auto,41200,Diesel,150,53.3,3.0,10,Высокое использование,Средний класс,4120.0,63.4,False
 2 Series,2019,24690,Automatic,3479,Hybrid,135,113.0,1.5,7,В хорошем состоянии,Премиум,497.0,78.4,False
 3 Series,2018,21690,Semi-Auto,12008,Petrol,145,48.7,2.0,8,Высокое использование,Премиум,1501.0,74.1,False
 3 Series,2017,15995,Semi-Auto,23715,Diesel,150,65.7,2.0,9,Высокое использование,Средний класс,2635.0,69.2,False
 1 Series,2017,20995,Semi-Auto,31544,Petrol,145,39.8,3.0,9,Высокое использование,Премиум,3504.9,68.0,False
 5 Series,2014,11495,Manual,65000,Diesel,125,57.6,2.0,12,Высокое использование,Бюджетные,5416.7,53.6,False
 X1,2017,17795,Manual,24485,Diesel,125,58.9,2.0,9,Высокое использование,Средний класс,2720.6,69.1,False
 5 Series,2013,10495,Semi-Auto,83000,Diesel,125,57.6,2.0,13,Высокое использование,Бюджетные,6384.6,47.7,False
 X4,2017,22995,Semi-Auto,35000,Diesel,150,54.3,2.0,9,Высокое использование,Премиум,3888.9,67.4,False
 3 Series,2018,16195,Manual,37025,Diesel,150,67.3,2.0,8,Высокое использование,Средний класс,4628.1,70.1,True
 3 Series,2015,15695,Semi-Auto,59204,Diesel,200,49.6,3.0,11,Высокое использование,Средний класс,5382.2,57.5,False
 4 Series,2017,24000,Semi-Auto,20398,Diesel,145,50.4,3.0,9,Высокое использование,Премиум,2266.4,69.7,False
 4 Series,2017,20387,Semi-Auto,19151,Diesel,145,65.7,2.0,9,Высокое использование,Премиум,2127.9,69.9,False
 4 Series,2016,19737,Semi-Auto,29958,Diesel,30,65.7,2.0,10,Высокое использование,Средний класс,2995.8,65.2,False
 4 Series,2017,20910,Semi-Auto,16448,Diesel,145,65.7,2.0,9,Высокое использование,Премиум,1827.6,70.4,False
 4 Series,2017,21170,Semi-Auto,8161,Diesel,145,65.7,2.0,9,Высокое использование,Премиум,906.8,71.7,False
 1 Series,2016,14015,Manual,34281,Diesel,20,70.6,1.5,10,Высокое использование,Бюджетные,3428.1,64.5,False
 4 Series,2016,19881,Semi-Auto,21972,Diesel,30,65.7,2.0,10,Высокое использование,Средний класс,2197.2,66.5,False
 3 Series,2019,25990,Semi-Auto,5714,Diesel,145,52.3,2.0,7,В хорошем состоянии,Премиум,816.3,78.1,False
 4 Series,2016,16995,Manual,29564,Diesel,30,62.8,2.0,10,Высокое использование,Средний класс,2956.4,65.3,False
 X5,2016,32995,Automatic,36804,Diesel,235,42.8,3.0,10,Высокое использование,Люкс,3680.4,64.1,False
 3 Series,2017,16485,Semi-Auto,58081,Diesel,145,64.2,2.0,9,Высокое использование,Средний класс,6453.4,63.7,False
 1 Series,2016,10985,Manual,37500,Diesel,20,72.4,1.5,10,Высокое использование,Бюджетные,3750.0,64.0,False
 5 Series,2017,23498,Semi-Auto,17231,Diesel,145,53.3,3.0,9,Высокое использование,Премиум,1914.6,70.2,False
 3 Series,2015,11995,Semi-Auto,52385,Petrol,165,47.1,2.0,11,Высокое использование,Бюджетные,4762.3,58.6,False
 1 Series,2016,13995,Semi-Auto,42565,Diesel,30,62.8,2.0,10,Высокое использование,Бюджетные,4256.5,63.2,False
 M6,2016,36995,Semi-Auto,19000,Petrol,555,27.4,4.4,10,Высокое использование,Люкс,1900.0,67.0,False
 4 Series,2017,24995,Semi-Auto,13543,Diesel,160,50.4,3.0,9,Высокое использование,Премиум,1504.8,70.8,False
 X5,2015,25995,Automatic,43344,Diesel,200,47.1,3.0,11,Высокое использование,Премиум,3940.4,60.1,False
 4 Series,2015,13495,Manual,42348,Petrol,200,40.4,2.0,11,Высокое использование,Бюджетные,3849.8,60.2,False
 X5,2015,22995,Automatic,41622,Diesel,200,47.9,3.0,11,Высокое использование,Премиум,3783.8,60.3,False
 2 Series,2018,17630,Semi-Auto,11056,Diesel,145,64.2,2.0,8,Высокое использование,Средний класс,1382.0,74.2,False
 M4,2017,33650,Semi-Auto,17834,Petrol,145,34.0,3.0,9,Высокое использование,Люкс,1981.6,70.1,False
 1 Series,2017,21901,Semi-Auto,4775,Petrol,200,39.8,3.0,9,Высокое использование,Премиум,530.6,72.2,False
 X2,2019,33250,Semi-Auto,3673,Petrol,145,34.0,2.0,7,В хорошем состоянии,Люкс,524.7,78.4,False
 X7,2019,66540,Semi-Auto,3218,Diesel,145,33.6,3.0,7,В хорошем состоянии,Люкс,459.7,78.5,False
 4 Series,2019,24920,Semi-Auto,3689,Diesel,145,65.7,2.0,7,В хорошем состоянии,Премиум,527.0,78.4,False
 3 Series,2015,17495,Semi-Auto,38249,Diesel,160,51.4,3.0,11,Высокое использование,Средний класс,3477.2,60.9,False
 4 Series,2016,14070,Semi-Auto,49922,Petrol,160,44.1,2.0,10,Высокое использование,Бюджетные,4992.2,62.0,True
 4 Series,2016,17595,Semi-Auto,22868,Petrol,160,45.6,2.0,10,Высокое использование,Средний класс,2286.8,66.3,False
 3 Series,2019,32420,Semi-Auto,103,Diesel,145,52.3,2.0,7,В хорошем состоянии,Люкс,14.7,79.0,False
 M6,2015,34147,Semi-Auto,34017,Petrol,555,28.5,4.4,11,Высокое использование,Люкс,3092.5,61.6,False
 X1,2017,22561,Semi-Auto,17195,Diesel,145,60.1,2.0,9,Высокое использование,Премиум,1910.6,70.2,False
 2 Series,2017,17484,Semi-Auto,34247,Diesel,30,65.7,2.0,9,Высокое использование,Средний класс,3805.2,67.5,False
 1 Series,2019,26300,Manual,5446,Diesel,145,53.3,2.0,7,В хорошем состоянии,Премиум,778.0,78.1,False
 X2,2019,26980,Manual,103,Diesel,145,55.4,2.0,7,В хорошем состоянии,Премиум,14.7,79.0,False
 X2,2019,32570,Semi-Auto,103,Petrol,145,34.0,2.0,7,В хорошем состоянии,Люкс,14.7,79.0,False
 X1,2016,16780,Manual,32383,Diesel,20,68.9,2.0,10,Высокое использование,Средний класс,3238.3,64.8,False
 X1,2019,26600,Semi-Auto,5085,Diesel,145,60.1,2.0,7,В хорошем состоянии,Премиум,726.4,78.2,False
 3 Series,2019,26000,Semi-Auto,4826,Diesel,145,60.1,2.0,7,В хорошем состоянии,Премиум,689.4,78.2,False
 7 Series,2019,45400,Semi-Auto,2212,Diesel,145,42.2,3.0,7,В хорошем состоянии,Люкс,316.0,78.6,False
 1 Series,2016,19790,Semi-Auto,15921,Petrol,235,37.7,3.0,10,Высокое использование,Средний класс,1592.1,67.5,False
 6 Series,2017,27197,Semi-Auto,6245,Diesel,145,51.4,3.0,9,Высокое использование,Премиум,693.9,72.0,False
 X3,2016,21480,Semi-Auto,44588,Diesel,200,47.9,3.0,10,Высокое использование,Премиум,4458.8,62.9,False
 4 Series,2017,23890,Semi-Auto,19266,Diesel,145,49.6,3.0,9,Высокое использование,Премиум,2140.7,69.9,False
 i8,2018,57870,Automatic,11278,Hybrid,135,134.5,1.5,8,Высокое использование,Люкс,1409.8,74.2,False
 1 Series,2017,22150,Semi-Auto,16798,Petrol,200,39.8,3.0,9,Высокое использование,Премиум,1866.4,70.3,False
 1 Series,2017,21307,Semi-Auto,12969,Petrol,145,39.8,3.0,9,Высокое использование,Премиум,1441.0,70.9,False
 1 Series,2019,30783,Semi-Auto,6499,Petrol,145,34.5,2.0,7,В хорошем состоянии,Люкс,928.4,78.0,False
 1 Series,2019,25323,Manual,7830,Petrol,145,41.5,1.5,7,В хорошем состоянии,Премиум,1118.6,77.7,False
 2 Series,2019,24790,Semi-Auto,2567,Diesel,145,48.7,2.0,7,В хорошем состоянии,Премиум,366.7,78.6,False
 5 Series,2019,29700,Semi-Auto,3901,Petrol,145,46.3,2.0,7,В хорошем состоянии,Люкс,557.3,78.4,False
 X2,2019,27197,Semi-Auto,3469,Diesel,145,58.9,2.0,7,В хорошем состоянии,Премиум,495.6,78.4,False
 X5,2019,44800,Semi-Auto,7030,Diesel,145,37.7,3.0,7,В хорошем состоянии,Люкс,1004.3,77.9,False
 5 Series,2019,32250,Semi-Auto,11432,Diesel,145,51.4,3.0,7,В хорошем состоянии,Люкс,1633.1,77.2,False
 3 Series,2015,17998,Semi-Auto,22358,Diesel,145,56.5,3.0,11,Высокое использование,Средний класс,2032.5,63.4,False
 X1,2017,15998,Manual,26055,Diesel,20,68.9,2.0,9,Высокое использование,Средний класс,2895.0,68.8,False
 1 Series,2017,15698,Manual,10966,Diesel,150,65.7,2.0,9,Высокое использование,Средний класс,1218.4,71.2,False
 X3,2020,52910,Semi-Auto,101,Hybrid,135,5.5,2.0,6,В хорошем состоянии,Люкс,16.8,82.0,False
 3 Series,2015,16698,Semi-Auto,38399,Diesel,145,56.5,3.0,11,Высокое использование,Средний класс,3490.8,60.9,False
 3 Series,2016,17698,Semi-Auto,27840,Hybrid,0,134.5,2.0,10,Высокое использование,Средний класс,2784.0,65.5,False
 3 Series,2016,20998,Semi-Auto,20756,Diesel,145,56.5,3.0,10,Высокое использование,Премиум,2075.6,66.7,False
 X1,2016,16798,Automatic,46344,Diesel,145,55.4,2.0,10,Высокое использование,Средний класс,4634.4,62.6,False
 5 Series,2014,17080,Automatic,40267,Diesel,200,48.7,3.0,12,Высокое использование,Средний класс,3355.6,57.6,False
 5 Series,2016,18810,Semi-Auto,35404,Diesel,160,51.4,2.0,10,Высокое использование,Средний класс,3540.4,64.3,False
 4 Series,2020,47550,Semi-Auto,101,Diesel,145,60.1,2.0,6,В хорошем состоянии,Люкс,16.8,82.0,False
 2 Series,2020,31150,Manual,101,Petrol,145,40.4,1.5,6,В хорошем состоянии,Люкс,16.8,82.0,False
 X4,2020,53630,Semi-Auto,117,Diesel,145,40.9,3.0,6,В хорошем состоянии,Люкс,19.5,82.0,False
 X5,2020,56270,Semi-Auto,117,Diesel,145,36.7,3.0,6,В хорошем состоянии,Люкс,19.5,82.0,False
 3 Series,2020,40150,Semi-Auto,319,Petrol,145,42.2,2.0,6,В хорошем состоянии,Люкс,53.2,81.9,False
 3 Series,2020,53260,Semi-Auto,347,Petrol,145,33.6,3.0,6,В хорошем состоянии,Люкс,57.8,81.9,False
 X1,2016,16670,Manual,34393,Diesel,125,58.9,2.0,10,Высокое использование,Средний класс,3439.3,64.5,False
 7 Series,2014,13840,Automatic,59640,Diesel,160,50.4,3.0,12,Высокое использование,Бюджетные,4970.0,54.5,False
 3 Series,2017,17880,Automatic,22170,Diesel,145,60.1,2.0,9,Высокое использование,Средний класс,2463.3,69.5,False
 1 Series,2017,13480,Manual,16627,Petrol,145,53.3,1.5,9,Высокое использование,Бюджетные,1847.4,70.3,False
 3 Series,2017,20998,Semi-Auto,19822,Diesel,145,53.3,3.0,9,Высокое использование,Премиум,2202.4,69.8,False
 1 Series,2016,16998,Manual,24311,Petrol,300,35.3,3.0,10,Высокое использование,Средний класс,2431.1,66.1,False
 3 Series,2015,16698,Semi-Auto,28321,Diesel,145,53.3,3.0,11,Высокое использование,Средний класс,2574.6,62.5,False
 5 Series,2017,22998,Automatic,14295,Diesel,145,55.4,2.0,9,Высокое использование,Премиум,1588.3,70.7,False
 X5,2016,33698,Automatic,20708,Diesel,235,42.8,3.0,10,Высокое использование,Люкс,2070.8,66.7,False
 X5,2013,21212,Automatic,51500,Diesel,200,45.6,3.0,13,Высокое использование,Премиум,3961.5,52.8,False
 3 Series,2019,22052,Semi-Auto,10178,Diesel,145,55.4,2.0,7,В хорошем состоянии,Премиум,1454.0,77.4,True
 3 Series,2019,22382,Semi-Auto,10142,Diesel,145,55.4,2.0,7,В хорошем состоянии,Премиум,1448.9,77.4,True
 X2,2019,28226,Automatic,123,Diesel,145,47.9,2.0,7,В хорошем состоянии,Люкс,17.6,79.0,False
 X2,2019,28608,Automatic,123,Diesel,145,50.4,2.0,7,В хорошем состоянии,Люкс,17.6,79.0,False
 3 Series,2019,22312,Semi-Auto,7944,Diesel,145,55.4,2.0,7,В хорошем состоянии,Премиум,1134.9,77.7,True
 1 Series,2017,16741,Semi-Auto,30500,Diesel,150,67.3,2.0,9,Высокое использование,Средний класс,3388.9,68.1,False
 3 Series,2019,25936,Automatic,5948,Petrol,145,42.2,2.0,7,В хорошем состоянии,Премиум,849.7,78.0,False
 X2,2019,25936,Automatic,4472,Diesel,145,50.4,2.0,7,В хорошем состоянии,Премиум,638.9,78.3,False
 3 Series,2019,29356,Automatic,3412,Diesel,145,52.3,2.0,7,В хорошем состоянии,Люкс,487.4,78.5,False
 1 Series,2017,14502,Semi-Auto,33242,Diesel,20,70.6,2.0,9,Высокое использование,Бюджетные,3693.6,67.7,False
 7 Series,2018,31322,Semi-Auto,39196,Diesel,145,54.3,3.0,8,Высокое использование,Люкс,4899.5,69.7,False
 4 Series,2019,30804,Semi-Auto,6903,Diesel,145,49.6,3.0,7,В хорошем состоянии,Люкс,986.1,77.9,False
 X3,2016,21991,Semi-Auto,30057,Diesel,145,54.3,2.0,10,Высокое использование,Премиум,3005.7,65.2,False
 X2,2019,29975,Automatic,123,Diesel,145,48.7,2.0,7,В хорошем состоянии,Люкс,17.6,79.0,False
 X2,2019,29770,Automatic,123,Diesel,145,48.7,2.0,7,В хорошем состоянии,Люкс,17.6,79.0,False
 4 Series,2019,29626,Automatic,1938,Petrol,145,41.5,3.0,7,В хорошем состоянии,Люкс,276.9,78.7,False
 1 Series,2018,17992,Semi-Auto,8846,Petrol,145,37.2,1.5,8,Высокое использование,Средний класс,1105.8,74.6,False
 1 Series,2018,17912,Semi-Auto,9673,Petrol,145,37.2,1.5,8,Высокое использование,Средний класс,1209.1,74.5,False
 X1,2019,24480,Manual,2425,Petrol,145,51.4,1.5,7,В хорошем состоянии,Премиум,346.4,78.6,False
 X1,2020,29991,Semi-Auto,2000,Diesel,145,47.9,2.0,6,В хорошем состоянии,Люкс,333.3,81.7,False
 2 Series,2020,29991,Semi-Auto,1500,Petrol,145,47.9,2.0,6,В хорошем состоянии,Люкс,250.0,81.8,False
 1 Series,2016,14490,Manual,34944,Diesel,30,62.8,2.0,10,Высокое использование,Бюджетные,3494.4,64.4,False
 2 Series,2017,17572,Manual,11237,Petrol,145,44.1,2.0,9,Высокое использование,Средний класс,1248.6,71.2,False
 4 Series,2015,13242,Manual,71179,Diesel,30,62.8,2.0,11,Высокое использование,Бюджетные,6470.8,55.6,False
 1 Series,2014,17292,Semi-Auto,35481,Petrol,235,37.7,3.0,12,Высокое использование,Средний класс,2956.8,58.3,False
 2 Series,2019,20276,Automatic,4013,Petrol,145,53.3,1.5,7,В хорошем состоянии,Премиум,573.3,78.4,False
 1 Series,2017,19792,Automatic,15867,Diesel,145,61.4,2.0,9,Высокое использование,Средний класс,1763.0,70.5,False
 1 Series,2018,17882,Semi-Auto,9993,Petrol,145,37.2,1.5,8,Высокое использование,Средний класс,1249.1,74.4,False
 X1,2018,24472,Semi-Auto,11253,Diesel,145,60.1,2.0,8,Высокое использование,Премиум,1406.6,74.2,False
 X1,2017,19991,Semi-Auto,19396,Petrol,160,44.8,2.0,9,Высокое использование,Средний класс,2155.1,69.9,False
 X3,2019,42763,Semi-Auto,3844,Diesel,145,36.7,3.0,7,В хорошем состоянии,Люкс,549.1,78.4,False
 1 Series,2019,27720,Manual,123,Diesel,145,53.3,2.0,7,В хорошем состоянии,Премиум,17.6,79.0,False
 1 Series,2019,32060,Automatic,123,Diesel,145,48.7,2.0,7,В хорошем состоянии,Люкс,17.6,79.0,False
 2 Series,2019,21796,Automatic,11189,Diesel,145,67.3,2.0,7,В хорошем состоянии,Премиум,1598.4,77.2,False
 X4,2019,34526,Automatic,5744,Diesel,145,42.8,2.0,7,В хорошем состоянии,Люкс,820.6,78.1,False
 3 Series,2019,33840,Automatic,123,Petrol,145,42.2,2.0,7,В хорошем состоянии,Люкс,17.6,79.0,False
 X3,2019,38020,Automatic,123,Diesel,145,54.3,2.0,7,В хорошем состоянии,Люкс,17.6,79.0,False
 X3,2019,37830,Automatic,123,Diesel,145,54.3,2.0,7,В хорошем состоянии,Люкс,17.6,79.0,False
 1 Series,2019,28000,Automatic,123,Diesel,145,51.4,2.0,7,В хорошем состоянии,Люкс,17.6,79.0,False
 3 Series,2019,34370,Automatic,123,Diesel,145,50.4,2.0,7,В хорошем состоянии,Люкс,17.6,79.0,False
 1 Series,2019,26780,Manual,123,Diesel,145,53.3,2.0,7,В хорошем состоянии,Премиум,17.6,79.0,False
 4 Series,2019,29806,Automatic,1649,Petrol,145,41.5,3.0,7,В хорошем состоянии,Люкс,235.6,78.7,False
 X4,2019,40016,Automatic,6648,Petrol,145,26.9,3.0,7,В хорошем состоянии,Люкс,949.7,77.9,False
 1 Series,2017,21972,Automatic,25000,Petrol,145,39.8,3.0,9,Высокое использование,Премиум,2777.8,69.0,False
 X3,2019,31466,Automatic,6070,Diesel,145,54.3,2.0,7,В хорошем состоянии,Люкс,867.1,78.0,False
 2 Series,2019,22516,Automatic,5215,Petrol,145,47.9,2.0,7,В хорошем состоянии,Премиум,745.0,78.2,False
 2 Series,2017,14951,Manual,22887,Petrol,145,55.4,1.5,9,Высокое использование,Средний класс,2543.0,69.3,False
 5 Series,2016,17991,Semi-Auto,30089,Diesel,125,60.1,2.0,10,Высокое использование,Средний класс,3008.9,65.2,False
 3 Series,2017,18612,Semi-Auto,25000,Diesel,30,64.2,2.0,9,Высокое использование,Средний класс,2777.8,69.0,False
 X2,2019,30266,Automatic,123,Diesel,145,58.9,2.0,7,В хорошем состоянии,Люкс,17.6,79.0,False
 X2,2019,26930,Semi-Auto,4030,Petrol,145,40.4,2.0,7,В хорошем состоянии,Премиум,575.7,78.4,False
 2 Series,2019,19420,Manual,4601,Petrol,145,44.1,1.5,7,В хорошем состоянии,Средний класс,657.3,78.3,False
 2 Series,2019,21920,Semi-Auto,7060,Diesel,145,49.6,2.0,7,В хорошем состоянии,Премиум,1008.6,77.9,False
 2 Series,2019,24440,Semi-Auto,5639,Diesel,145,49.6,2.0,7,В хорошем состоянии,Премиум,805.6,78.1,False
 X1,2019,25020,Semi-Auto,5197,Petrol,145,38.2,2.0,7,В хорошем состоянии,Премиум,742.4,78.2,False
 X6,2018,39589,Semi-Auto,12648,Diesel,145,40.9,3.0,8,Высокое использование,Люкс,1581.0,74.0,False
 3 Series,2019,34280,Automatic,123,Diesel,145,50.4,2.0,7,В хорошем состоянии,Люкс,17.6,79.0,False
 1 Series,2019,27730,Manual,123,Diesel,145,53.3,2.0,7,В хорошем состоянии,Премиум,17.6,79.0,False
 3 Series,2019,33910,Automatic,123,Diesel,145,50.4,2.0,7,В хорошем состоянии,Люкс,17.6,79.0,False
 2 Series,2019,24626,Automatic,123,Diesel,145,49.6,2.0,7,В хорошем состоянии,Премиум,17.6,79.0,False
 1 Series,2019,26310,Manual,123,Diesel,145,53.3,2.0,7,В хорошем состоянии,Премиум,17.6,79.0,False
 7 Series,2019,49990,Automatic,123,Diesel,145,44.8,3.0,7,В хорошем состоянии,Люкс,17.6,79.0,False
 Z4,2019,30990,Semi-Auto,2389,Petrol,145,38.7,2.0,7,В хорошем состоянии,Люкс,341.3,78.6,False
 X3,2019,30200,Semi-Auto,19915,Petrol,145,30.4,2.0,7,В хорошем состоянии,Люкс,2845.0,75.8,False
 3 Series,2018,21800,Semi-Auto,37052,Diesel,145,51.4,3.0,8,Высокое использование,Премиум,4631.5,70.1,False
 3 Series,2018,24991,Semi-Auto,5243,Diesel,145,56.5,3.0,8,Высокое использование,Премиум,655.4,75.2,False
 5 Series,2016,15840,Manual,33700,Diesel,125,60.1,2.0,10,Высокое использование,Средний класс,3370.0,64.6,False
 X1,2018,18502,Manual,12800,Diesel,145,68.9,2.0,8,Высокое использование,Средний класс,1600.0,74.0,True
 4 Series,2019,27003,Manual,123,Diesel,145,62.8,2.0,7,В хорошем состоянии,Премиум,17.6,79.0,False
 5 Series,2019,35810,Automatic,123,Petrol,145,48.7,2.0,7,В хорошем состоянии,Люкс,17.6,79.0,False
 X5,2019,53910,Automatic,123,Diesel,145,37.7,3.0,7,В хорошем состоянии,Люкс,17.6,79.0,False
 X3,2019,38900,Automatic,123,Diesel,145,54.3,2.0,7,В хорошем состоянии,Люкс,17.6,79.0,False
 X5,2017,31900,Automatic,21379,Diesel,200,47.1,3.0,9,Высокое использование,Люкс,2375.4,69.6,False
 3 Series,2019,36990,Semi-Auto,3501,Diesel,145,47.9,3.0,7,В хорошем состоянии,Люкс,500.1,78.4,False
 3 Series,2016,17490,Semi-Auto,21804,Diesel,125,60.1,2.0,10,Высокое использование,Средний класс,2180.4,66.5,False
 X6,2017,35990,Semi-Auto,3550,Diesel,150,44.8,3.0,9,Высокое использование,Люкс,394.4,72.4,False
 X2,2018,22960,Semi-Auto,6350,Diesel,150,50.4,2.0,8,Высокое использование,Премиум,793.8,75.0,False
 2 Series,2018,20870,Semi-Auto,8090,Petrol,150,47.9,2.0,8,Высокое использование,Премиум,1011.2,74.7,False
 7 Series,2017,27100,Semi-Auto,34335,Diesel,145,54.3,3.0,9,Высокое использование,Премиум,3815.0,67.5,False
 X1,2019,27450,Automatic,123,Petrol,145,46.3,1.5,7,В хорошем состоянии,Премиум,17.6,79.0,False
 X1,2019,28410,Automatic,123,Diesel,145,60.1,2.0,7,В хорошем состоянии,Люкс,17.6,79.0,False
 X3,2019,31276,Automatic,7345,Petrol,145,30.4,2.0,7,В хорошем состоянии,Люкс,1049.3,77.8,False
 X5,2019,44036,Automatic,11436,Diesel,145,37.7,3.0,7,В хорошем состоянии,Люкс,1633.7,77.2,False
 1 Series,2020,26991,Semi-Auto,2000,Diesel,145,57.7,1.5,6,В хорошем состоянии,Премиум,333.3,81.7,False
 X1,2020,29991,Semi-Auto,2000,Diesel,145,40.9,2.0,6,В хорошем состоянии,Люкс,333.3,81.7,False
 5 Series,2019,31030,Automatic,123,Diesel,145,49.6,2.0,7,В хорошем состоянии,Люкс,17.6,79.0,False
 X6,2019,64772,Semi-Auto,4193,Petrol,150,26.4,3.0,7,В хорошем состоянии,Люкс,599.0,78.3,False
 4 Series,2019,22726,Automatic,9987,Diesel,145,65.7,2.0,7,В хорошем состоянии,Премиум,1426.7,77.4,True
 X2,2019,23976,Automatic,999,Petrol,145,38.7,2.0,7,В хорошем состоянии,Премиум,142.7,78.8,False
 X1,2014,12832,Automatic,33100,Diesel,160,52.3,2.0,12,Высокое использование,Бюджетные,2758.3,58.7,False
 M5,2019,68930,Automatic,123,Petrol,145,26.9,4.4,7,В хорошем состоянии,Люкс,17.6,79.0,False
 2 Series,2019,24180,Semi-Auto,4001,Diesel,145,47.1,2.0,7,В хорошем состоянии,Премиум,571.6,78.4,False
 2 Series,2019,22050,Semi-Auto,4488,Petrol,145,39.8,1.5,7,В хорошем состоянии,Премиум,641.1,78.3,False
 2 Series,2019,28861,Automatic,123,Petrol,145,39.8,3.0,7,В хорошем состоянии,Люкс,17.6,79.0,False
 3 Series,2019,34790,Automatic,123,Diesel,145,50.4,2.0,7,В хорошем состоянии,Люкс,17.6,79.0,False
 X5,2019,63320,Automatic,123,Diesel,145,33.6,3.0,7,В хорошем состоянии,Люкс,17.6,79.0,False
 4 Series,2019,30766,Automatic,123,Diesel,145,60.1,2.0,7,В хорошем состоянии,Люкс,17.6,79.0,False
